State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR
AZ,HC.gov,S,All,"88,493",$611 ,$197 ,0.86,0.73,0.2,0.31,0.23,0,0.86,$482 ,$140 ,0.13,0.08,0.12,0.13,0.19,0.33,0.02,0.44,0.56,0,0.09,0,0.02,0.54,0.03,0.02,0.29,0.17,0.69,0.14,0.08,0.92,N/A,N/A,N/A,N/A,N/A,0.09,0.22,0.31,0.2,0.07,0.07,0.03
AZ,HC.gov,G,All,"4,443",$733 ,$592 ,0.36,0,0,0,0,0,0.35,$399 ,$420 ,0.17,0.07,0.15,0.18,0.16,0.25,0.01,0.48,0.52,0.01,0.04,0,0.02,0.66,0.02,0.04,0.22,0.12,0.76,0.12,0.07,0.93,N/A,N/A,N/A,N/A,N/A,0.5,0.02,0.05,0.11,0.11,0.14,0.07
CA,SBM,B,All ,"495,299",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.09,0.19,0.17,0.2,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.2,0.18,0.18,0.2,0.19
CA,SBM,S,All ,"899,926",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.1,0.16,0.15,0.21,0.33,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.25,0.37,0.14,0.1,0.09,0.06
CA,SBM,G,All ,"149,744",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.13,0.08,0.17,0.17,0.19,0.25,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.15,0.18,0.2,0.21,0.23
CO,SBM,B,All ,"92,485",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.13,0.07,0.14,0.17,0.17,0.28,0.05,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.09,0.13,0.18,0.25,0.32
CO,SBM,S,All ,"70,176",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.07,0.2,0.16,0.17,0.28,0.06,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.18,0.34,0.16,0.07,0.08,0.17
CO,SBM,G,All ,"13,841",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.16,0.07,0.21,0.21,0.17,0.17,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.06,0.12,0.15,0.19,0.46
CT,SBM,B,All ,"45,732",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.08,0.13,0.14,0.2,0.35,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.04,0.1,0.13,0.23,0.49
CT,SBM,S,All ,"49,097",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.09,0.14,0.13,0.2,0.37,0.04,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.15,0.31,0.17,0.09,0.11,0.18
CT,SBM,G,All ,"8,112",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.07,0.15,0.17,0.2,0.29,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.04,0.14,0.15,0.23,0.43
DC,SBM,B,All ,"4,845",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.05,0.27,0.22,0.17,0.18,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.02,0.03,0.03,0.91
DC,SBM,S,All ,"4,252",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.05,0.28,0.22,0.16,0.17,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.01,0.06,0.04,0.03,0.85
DC,SBM,G,All ,"4,080",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.12,0.06,0.3,0.25,0.15,0.12,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.02,0.01,0.01,0.96
DE,HC.gov,B,All,"7,956",$547 ,$202 ,0.72,0,0,0,0,0,0.72,$477 ,$67 ,0.14,0.07,0.15,0.15,0.17,0.31,0.01,0.47,0.53,0,0.09,0,0.08,0.57,0.01,0.02,0.21,0.05,0.85,0.11,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.19,0.03,0.11,0.18,0.19,0.25,0.05
DE,HC.gov,S,All,"7,087",$764 ,$112 ,0.96,0.91,0.08,0.48,0.35,0,0.96,$682 ,$84 ,0.05,0.08,0.16,0.16,0.19,0.33,0.03,0.43,0.57,0,0.11,0,0.11,0.5,0.02,0.02,0.23,0.07,0.8,0.12,0.24,0.76,N/A,N/A,N/A,N/A,N/A,0.01,0.33,0.48,0.09,0.03,0.03,0.03
DE,HC.gov,G,All,"9,359",$713 ,$269 ,0.81,0,0,0,0,0,0.81,$551 ,$175 ,0.14,0.07,0.13,0.15,0.18,0.32,0.01,0.45,0.55,0,0.07,0,0.09,0.57,0.02,0.02,0.23,0.06,0.84,0.1,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.12,0.03,0.11,0.28,0.19,0.22,0.04
FL,HC.gov,B,All,"679,527",$537 ,$120 ,0.88,0,0,0,0,0,0.88,$472 ,$68 ,0.09,0.1,0.15,0.17,0.21,0.28,0.01,0.49,0.51,0,0.03,0,0.07,0.34,0.02,0.01,0.52,0.15,0.45,0.4,0.03,0.97,N/A,N/A,N/A,N/A,N/A,0.06,0.32,0.17,0.18,0.12,0.11,0.03
FL,HC.gov,S,All,"1,371,697",$620 ,$76 ,0.98,0.97,0.03,0.16,0.78,0,0.98,$555 ,$65 ,0.07,0.13,0.14,0.17,0.22,0.25,0.03,0.43,0.57,0,0.03,0,0.06,0.25,0.02,0.01,0.63,0.24,0.31,0.45,0.03,0.97,N/A,N/A,N/A,N/A,N/A,0,0.79,0.16,0.03,0.01,0.01,0.01
FL,HC.gov,G,All,"53,131",$747 ,$446 ,0.69,0,0,0,0,0,0.69,$439 ,$332 ,0.15,0.07,0.15,0.17,0.19,0.27,0.01,0.48,0.52,0,0.03,0,0.03,0.59,0.02,0.02,0.31,0.14,0.66,0.19,0.05,0.95,N/A,N/A,N/A,N/A,N/A,0.19,0.05,0.06,0.23,0.19,0.21,0.08
GA,HC.gov,B,All,"117,377",$491 ,$168 ,0.75,0,0,0,0,0,0.75,$428 ,$69 ,0.09,0.1,0.17,0.17,0.21,0.26,0.01,0.47,0.53,0,0.09,0,0.16,0.39,0.01,0.02,0.33,0.05,0.72,0.22,0.13,0.87,N/A,N/A,N/A,N/A,N/A,0.14,0.23,0.14,0.14,0.14,0.14,0.07
GA,HC.gov,S,All,"357,441",$611 ,$98 ,0.96,0.92,0.05,0.19,0.67,0,0.95,$538 ,$73 ,0.06,0.13,0.15,0.18,0.22,0.24,0.02,0.42,0.58,0,0.15,0,0.16,0.26,0.01,0.01,0.39,0.08,0.69,0.22,0.13,0.87,N/A,N/A,N/A,N/A,N/A,0.01,0.67,0.2,0.06,0.02,0.02,0.02
GA,HC.gov,G,All,"37,508",$631 ,$373 ,0.61,0,0,0,0,0,0.61,$421 ,$237 ,0.13,0.08,0.15,0.17,0.21,0.26,0,0.46,0.54,0,0.06,0,0.1,0.53,0.01,0.02,0.27,0.05,0.81,0.14,0.19,0.81,N/A,N/A,N/A,N/A,N/A,0.26,0.04,0.05,0.18,0.19,0.19,0.09
HI,HC.gov,B,All,"6,019",$493 ,$192 ,0.68,0.01,0,0,0,0.01,0.68,$441 ,$80 ,0.07,0.05,0.15,0.2,0.22,0.31,0.01,0.47,0.53,0.01,0.32,0.03,0.01,0.38,0.02,0.12,0.11,0.05,0.88,0.07,0.39,0.61,N/A,N/A,N/A,N/A,N/A,0.15,0.07,0.19,0.19,0.13,0.17,0.09
HI,HC.gov,S,All,"8,724",$680 ,$108 ,0.95,0.93,0.05,0.23,0.64,0,0.94,$608 ,$73 ,0.01,0.08,0.13,0.21,0.24,0.3,0.02,0.39,0.61,0,0.26,0.06,0,0.19,0.29,0.1,0.09,0.04,0.89,0.07,0.28,0.72,N/A,N/A,N/A,N/A,N/A,0.01,0.25,0.24,0.05,0.01,0.01,0.43
HI,HC.gov,G,All,"6,040",$663 ,$255 ,0.77,0,0,0,0,0,0.77,$529 ,$169 ,0.07,0.05,0.11,0.17,0.22,0.35,0.02,0.44,0.56,0,0.33,0.03,0.01,0.36,0.02,0.14,0.12,0.05,0.86,0.08,0.35,0.65,N/A,N/A,N/A,N/A,N/A,0.12,0.08,0.22,0.26,0.12,0.14,0.06
IA,HC.gov,B,All,"22,730",$520 ,$154 ,0.79,0,0,0,0,0,0.79,$465 ,$66 ,0.07,0.07,0.17,0.17,0.17,0.35,0,0.48,0.52,0,0.03,0,0.01,0.71,0.01,0.01,0.22,0.03,0.84,0.13,0.43,0.57,N/A,N/A,N/A,N/A,N/A,0.13,0.04,0.14,0.19,0.17,0.29,0.04
IA,HC.gov,S,All,"16,781",$777 ,$131 ,0.96,0.91,0.09,0.46,0.36,0,0.95,$677 ,$102 ,0.02,0.07,0.15,0.17,0.18,0.38,0.02,0.43,0.57,0,0.04,0,0.02,0.66,0.01,0.01,0.25,0.04,0.8,0.17,0.5,0.5,N/A,N/A,N/A,N/A,N/A,0.01,0.35,0.47,0.1,0.03,0.02,0.03
IA,HC.gov,G,All,"19,381",$720 ,$214 ,0.85,0,0,0,0,0,0.85,$595 ,$141 ,0.06,0.07,0.14,0.14,0.18,0.41,0.01,0.46,0.54,0,0.02,0,0.01,0.69,0.01,0.01,0.26,0.03,0.81,0.16,0.53,0.47,N/A,N/A,N/A,N/A,N/A,0.09,0.04,0.16,0.27,0.18,0.24,0.02
ID,SBM,B,All ,"44,832",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,22%,0.08,0.14,0.16,0.14,0.25,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ID,SBM,S,All ,"19,027",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,11%,0.11,0.15,0.16,0.16,0.3,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ID,SBM,G,All ,"4,530",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,21%,0.08,0.16,0.16,0.15,0.23,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
IL,HC.gov,B,All,"124,708",$573 ,$234 ,0.75,0,0,0,0,0,0.75,$453 ,$149 ,0.08,0.07,0.15,0.15,0.19,0.35,0.01,0.48,0.52,0,0.1,0,0.04,0.61,0.02,0.02,0.22,0.07,0.8,0.13,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.15,0.07,0.17,0.18,0.15,0.23,0.05
IL,HC.gov,S,All,"144,020",$652 ,$214 ,0.92,0.82,0.12,0.34,0.36,0,0.91,$481 ,$178 ,0.04,0.08,0.18,0.17,0.2,0.31,0.02,0.46,0.54,0,0.12,0,0.04,0.55,0.02,0.02,0.25,0.09,0.77,0.14,0.11,0.89,N/A,N/A,N/A,N/A,N/A,0.03,0.33,0.35,0.13,0.05,0.06,0.05
IL,HC.gov,G,All,"21,226",$760 ,$505 ,0.59,0,0,0,0,0,0.59,$433 ,$380 ,0.11,0.07,0.19,0.19,0.18,0.26,0.01,0.48,0.52,0,0.06,0,0.03,0.69,0.02,0.02,0.18,0.07,0.83,0.11,0.14,0.86,N/A,N/A,N/A,N/A,N/A,0.27,0.03,0.08,0.17,0.15,0.24,0.06
IN,HC.gov,B,All,"53,423",$504 ,$291 ,0.57,0,0,0,0,0,0.57,$373 ,$144 ,0.13,0.07,0.13,0.14,0.17,0.34,0,0.48,0.52,0,0.04,0,0.03,0.66,0.01,0.02,0.24,0.03,0.83,0.14,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.32,0.04,0.09,0.13,0.17,0.19,0.05
IN,HC.gov,S,All,"79,054",$627 ,$255 ,0.82,0.66,0.14,0.3,0.22,0,0.81,$457 ,$179 ,0.08,0.07,0.13,0.16,0.18,0.36,0.01,0.45,0.55,0,0.07,0,0.03,0.61,0.01,0.01,0.27,0.04,0.81,0.15,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.12,0.22,0.31,0.14,0.09,0.08,0.03
IN,HC.gov,G,All,"4,116",$759 ,$664 ,0.31,0,0,0,0,0,0.31,$308 ,$487 ,0.15,0.07,0.17,0.18,0.19,0.23,0.01,0.5,0.5,0,0.03,0,0.06,0.67,0.01,0.02,0.22,0.04,0.84,0.12,0.23,0.77,N/A,N/A,N/A,N/A,N/A,0.54,0.01,0.03,0.08,0.13,0.14,0.07
KS,HC.gov,B,All,"30,158",$540 ,$174 ,0.79,0.03,0,0,0,0.03,0.79,$462 ,$81 ,0.12,0.09,0.16,0.16,0.16,0.32,0.01,0.47,0.53,0.02,0.05,0,0.03,0.64,0.01,0.03,0.23,0.06,0.8,0.14,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.11,0.15,0.16,0.18,0.16,0.17,0.06
KS,HC.gov,S,All,"41,381",$667 ,$131 ,0.95,0.9,0.08,0.26,0.57,0,0.95,$567 ,$102 ,0.05,0.11,0.17,0.18,0.18,0.29,0.01,0.44,0.56,0,0.07,0,0.03,0.57,0.02,0.02,0.28,0.08,0.76,0.15,0.33,0.67,N/A,N/A,N/A,N/A,N/A,0.01,0.57,0.26,0.08,0.03,0.02,0.03
KS,HC.gov,G,All,"16,466",$707 ,$313 ,0.79,0,0,0,0,0,0.79,$497 ,$222 ,0.15,0.08,0.14,0.15,0.15,0.33,0,0.47,0.53,0,0.03,0,0.02,0.74,0.01,0.02,0.18,0.06,0.83,0.11,0.51,0.49,N/A,N/A,N/A,N/A,N/A,0.11,0.1,0.12,0.23,0.19,0.19,0.06
KY,HC.gov,B,All,"37,670",$486 ,$174 ,0.73,0,0,0,0,0,0.73,$425 ,$76 ,0.14,0.07,0.14,0.16,0.18,0.31,0.01,0.46,0.54,0,0.04,0,0.03,0.68,0.01,0.01,0.22,0.02,0.84,0.14,0.4,0.6,N/A,N/A,N/A,N/A,N/A,0.17,0.06,0.15,0.21,0.18,0.2,0.04
KY,HC.gov,S,All,"34,989",$726 ,$183 ,0.92,0.79,0.18,0.38,0.24,0,0.91,$593 ,$140 ,0.07,0.07,0.13,0.15,0.19,0.38,0.01,0.43,0.57,0,0.04,0,0.03,0.69,0.01,0.01,0.22,0.03,0.84,0.13,0.49,0.51,N/A,N/A,N/A,N/A,N/A,0.04,0.23,0.39,0.19,0.07,0.06,0.02
KY,HC.gov,G,All,"4,627",$708 ,$515 ,0.49,0,0,0,0,0,0.49,$395 ,$358 ,0.15,0.07,0.15,0.18,0.2,0.26,0,0.49,0.51,0,0.03,0,0.04,0.7,0.01,0.01,0.21,0.03,0.87,0.1,0.39,0.61,N/A,N/A,N/A,N/A,N/A,0.4,0.01,0.04,0.17,0.15,0.18,0.05
LA,HC.gov,B,All,"27,889",$605 ,$179 ,0.81,0.01,0,0,0,0.01,0.8,$530 ,$92 ,0.11,0.07,0.16,0.16,0.18,0.32,0.01,0.45,0.55,0.01,0.06,0,0.13,0.58,0.01,0.02,0.2,0.04,0.82,0.14,0.15,0.85,N/A,N/A,N/A,N/A,N/A,0.11,0.06,0.16,0.18,0.22,0.24,0.04
LA,HC.gov,S,All,"48,871",$805 ,$165 ,0.94,0.83,0.14,0.36,0.33,0,0.93,$685 ,$122 ,0.04,0.07,0.14,0.16,0.21,0.36,0.02,0.42,0.58,0,0.09,0,0.12,0.46,0.01,0.01,0.3,0.04,0.74,0.22,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.02,0.33,0.37,0.14,0.06,0.05,0.02
LA,HC.gov,G,All,"6,399",$838 ,$415 ,0.77,0,0,0,0,0,0.77,$549 ,$319 ,0.15,0.07,0.16,0.18,0.18,0.26,0.01,0.46,0.54,0.01,0.03,0,0.08,0.63,0.01,0.02,0.22,0.03,0.81,0.16,0.18,0.82,N/A,N/A,N/A,N/A,N/A,0.14,0.02,0.06,0.18,0.29,0.26,0.04
MA,SBM,B,All ,"39,982",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,11%,0.08,0.21,0.17,0.17,0.25,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.01,0.02,0.02,0.29,0.65
MA,SBM,S,All ,"240,418",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2%,0.1,0.23,0.21,0.2,0.23,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.26,0.23,0.15,0.05,0.17
MA,SBM,G,All ,"9,360",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,15%,0.07,0.17,0.17,0.17,0.27,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.01,0.01,0.13,0.84
MD,SBM,B,All ,"39,774",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7%,0.09,0.2,0.18,0.19,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.15,0.15,0.11,0.16,0.38
MD,SBM,S,All ,"54,744",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1%,0.09,0.18,0.19,0.2,0.25,0.1,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.18,0.31,0.07,0.03,0.02,0.39
MD,SBM,G,All ,"65,815",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6%,0.08,0.18,0.17,0.2,0.29,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.16,0.18,0.12,0.15,0.33
ME,HC.gov,B,All,"32,744",$505 ,$187 ,0.77,0,0,0,0,0,0.76,$417 ,$101 ,0.15,0.06,0.13,0.15,0.17,0.33,0,0.47,0.53,0,0.02,0,0,0.79,0.01,0.01,0.17,0.01,0.88,0.11,0.56,0.44,N/A,N/A,N/A,N/A,N/A,0.15,0.04,0.12,0.2,0.21,0.24,0.04
ME,HC.gov,S,All,"23,844",$638 ,$166 ,0.92,0.79,0.2,0.35,0.25,0,0.92,$516 ,$131 ,0.1,0.06,0.15,0.14,0.18,0.36,0.01,0.45,0.55,0,0.02,0,0.01,0.78,0.01,0.01,0.17,0.01,0.87,0.12,0.55,0.45,N/A,N/A,N/A,N/A,N/A,0.04,0.25,0.35,0.2,0.07,0.06,0.02
ME,HC.gov,G,All,"2,313",$609 ,$420 ,0.57,0,0,0,0,0,0.57,$334 ,$305 ,0.19,0.06,0.16,0.19,0.17,0.23,0,0.47,0.53,0,0.01,0,0.01,0.79,0.01,0.02,0.15,0.02,0.89,0.09,0.41,0.59,N/A,N/A,N/A,N/A,N/A,0.3,0.01,0.03,0.16,0.21,0.22,0.06
MI,HC.gov,B,All,"133,892",$414 ,$168 ,0.76,0.01,0,0,0,0.01,0.76,$324 ,$104 ,0.14,0.07,0.13,0.14,0.17,0.35,0.01,0.48,0.52,0.01,0.04,0,0.03,0.57,0.01,0.02,0.34,0.02,0.75,0.23,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.13,0.07,0.14,0.22,0.18,0.21,0.04
MI,HC.gov,S,All,"117,135",$554 ,$198 ,0.92,0.81,0.16,0.33,0.32,0,0.91,$391 ,$169 ,0.09,0.07,0.15,0.15,0.19,0.33,0.02,0.46,0.54,0,0.04,0,0.03,0.54,0.01,0.01,0.36,0.02,0.74,0.24,0.22,0.78,N/A,N/A,N/A,N/A,N/A,0.03,0.31,0.34,0.17,0.07,0.06,0.03
MI,HC.gov,G,All,"12,725",$567 ,$391 ,0.61,0,0,0,0,0,0.61,$287 ,$303 ,0.17,0.07,0.16,0.17,0.18,0.24,0,0.49,0.51,0,0.04,0,0.04,0.67,0.02,0.02,0.21,0.03,0.85,0.12,0.2,0.8,N/A,N/A,N/A,N/A,N/A,0.23,0.02,0.06,0.23,0.2,0.21,0.07
MN,SBM,B,All ,"60,345",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,11%,0.07,0.11,0.14,0.16,0.41,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.18,0.17,0.23,0.42
MN,SBM,S,All ,"32,341",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,10%,0.07,0.14,0.15,0.16,0.38,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.3,0.15,0.18,0.36
MN,SBM,G,All ,"16,839",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,14%,0.07,0.17,0.19,0.17,0.26,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.15,0.14,0.18,0.53
