State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR
AZ,HC.gov,S,All,"116,449",$581 ,$155 ,0.13,0.91,0.74,0.21,0.29,0.24,0,0.9,$471 ,$117 ,0.14,0.09,0.13,0.13,0.18,0.31,0.01,0.45,0.55,0.17,0,0.08,0,0.02,0.43,0.01,0.02,0.28,0,0.08,0,0.02,0.5,0.03,0.02,0.34,0.63,0.2,0.09,0.91,N/A,N/A,N/A,N/A,N/A,0.01,0.05,0.23,0.29,0.21,0.08,0.07,0.02,0.03,0.05
AZ,HC.gov,G,All,"7,856",$661 ,$489 ,0,0.53,0,0,0,0,0,0.53,$326 ,$375 ,0.18,0.07,0.17,0.18,0.16,0.23,0,0.47,0.53,0.14,0,0.05,0,0.02,0.56,0.01,0.03,0.2,0,0.05,0,0.02,0.62,0.03,0.04,0.23,0.73,0.14,0.07,0.93,N/A,N/A,N/A,N/A,N/A,0,0,0.01,0.03,0.12,0.16,0.18,0.09,0.15,0.26
CA,SBM,B,All,"469,308",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.08,0.19,0.17,0.19,0.27,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.04,0.15,0.16,0.17,0.22,0.07,0.08,0.1
CA,SBM,S,All,"1,032,566",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.09,0.17,0.15,0.21,0.32,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.01,0.23,0.33,0.14,0.1,0.09,0.03,0.03,0.03
CA,SBM,G,All,"178,460",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.13,0.08,0.17,0.18,0.19,0.25,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.03,0.12,0.18,0.19,0.2,0.07,0.08,0.12
CO,SBM,B,All,"95,262",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.13,0.07,0.13,0.16,0.17,0.29,0.05,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0,0.02,0.06,0.11,0.17,0.25,0.07,0.1,0.19
CO,SBM,S,All,"72,116",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.08,0.21,0.16,0.16,0.28,0.06,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.03,0.18,0.36,0.18,0.07,0.07,0.02,0.02,0.05
CO,SBM,G,All,"28,484",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.16,0.07,0.19,0.19,0.16,0.21,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.01,0.02,0.05,0.11,0.16,0.2,0.08,0.12,0.25
CT,SBM,B,All,"42,645",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.08,0.12,0.14,0.19,0.36,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.01,0.03,0.07,0.11,0.23,0.1,0.2,0.25
CT,SBM,S,All,"54,037",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.09,0.14,0.13,0.19,0.37,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.07,0.14,0.27,0.19,0.1,0.12,0.04,0.05,0.06
CT,SBM,G,All,"12,398",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.12,0.07,0.15,0.16,0.19,0.3,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.01,0.03,0.11,0.15,0.23,0.1,0.15,0.22
DC,SBM,B,All,"4,366",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.05,0.25,0.21,0.18,0.2,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.01,0.02,0.01,0.03,0.04,0.06,0.01,0.03,0.79
DC,SBM,S,All,"3,951",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.05,0.26,0.23,0.16,0.19,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.02,0.07,0.05,0.03,0.06,0.04,0.02,0.71
DC,SBM,G,All,"4,109",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.06,0.27,0.25,0.16,0.14,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0,0.01,0,0.03,0.03,0.04,0.03,0.02,0.81
DE,HC.gov,B,All,"7,908",$580 ,$179 ,0.32,0.82,0,0,0,0,0,0.82,$491 ,$94 ,0.14,0.08,0.14,0.14,0.17,0.33,0.01,0.48,0.52,0.05,0,0.08,0,0.09,0.53,0.01,0.01,0.22,0,0.08,0,0.09,0.55,0.02,0.02,0.23,0.84,0.1,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.07,0.12,0.16,0.27,0.11,0.16,0.09
DE,HC.gov,S,All,"8,097",$778 ,$49 ,0.57,0.98,0.93,0.09,0.5,0.34,0,0.98,$746 ,$33 ,0.06,0.08,0.15,0.16,0.18,0.32,0.04,0.43,0.57,0.08,0,0.1,0,0.13,0.44,0.01,0.02,0.21,0,0.1,0,0.13,0.47,0.03,0.02,0.24,0.78,0.14,0.23,0.77,N/A,N/A,N/A,N/A,N/A,0.02,0.11,0.32,0.5,0.09,0.02,0.02,0.01,0.01,0.01
DE,HC.gov,G,All,"14,999",$730 ,$212 ,0.06,0.9,0,0,0,0,0,0.89,$579 ,$159 ,0.15,0.07,0.14,0.15,0.17,0.31,0.01,0.45,0.55,0.06,0,0.07,0,0.1,0.55,0.01,0.02,0.2,0,0.07,0,0.1,0.58,0.02,0.02,0.21,0.84,0.11,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.09,0.25,0.19,0.22,0.08,0.09,0.05
FL,HC.gov,B,All,"866,641",$567 ,$104 ,0.46,0.93,0,0,0,0,0,0.93,$499 ,$72 ,0.1,0.1,0.15,0.17,0.2,0.27,0.01,0.5,0.5,0.15,0,0.03,0,0.07,0.26,0.01,0.01,0.48,0,0.03,0,0.07,0.33,0.02,0.01,0.54,0.43,0.42,0.04,0.96,N/A,N/A,N/A,N/A,N/A,0.01,0.26,0.29,0.12,0.19,0.14,0.13,0.04,0.05,0.03
FL,HC.gov,S,All,"1,764,821",$622 ,$48 ,0.36,0.99,0.97,0.04,0.19,0.74,0,0.99,$580 ,$42 ,0.08,0.12,0.15,0.18,0.21,0.24,0.03,0.44,0.56,0.23,0,0.03,0,0.06,0.15,0.01,0.01,0.52,0,0.03,0,0.06,0.25,0.02,0.01,0.63,0.3,0.47,0.03,0.97,N/A,N/A,N/A,N/A,N/A,0.01,0.61,0.74,0.19,0.04,0.01,0.01,0,0,0
FL,HC.gov,G,All,"72,696",$741 ,$393 ,0,0.8,0,0,0,0,0,0.8,$437 ,$314 ,0.16,0.07,0.16,0.17,0.18,0.25,0.01,0.48,0.52,0.15,0,0.03,0,0.04,0.47,0.01,0.02,0.29,0,0.03,0,0.04,0.56,0.02,0.02,0.33,0.63,0.21,0.04,0.96,N/A,N/A,N/A,N/A,N/A,0.02,0.03,0.04,0.05,0.22,0.19,0.2,0.07,0.11,0.1
GA,HC.gov,B,All,"156,208",$462 ,$126 ,0.38,0.84,0,0,0,0,0,0.84,$400 ,$69 ,0.09,0.1,0.16,0.17,0.21,0.26,0.01,0.48,0.52,0.07,0,0.08,0,0.17,0.32,0.01,0.02,0.35,0,0.08,0,0.17,0.35,0.01,0.02,0.37,0.69,0.24,0.14,0.86,N/A,N/A,N/A,N/A,N/A,0.02,0.19,0.22,0.12,0.15,0.15,0.15,0.05,0.07,0.07
GA,HC.gov,S,All,"476,098",$550 ,$70 ,0.21,0.97,0.93,0.06,0.21,0.67,0,0.97,$494 ,$57 ,0.06,0.13,0.16,0.18,0.22,0.23,0.02,0.43,0.57,0.08,0,0.13,0,0.18,0.21,0.01,0.01,0.38,0,0.13,0,0.18,0.25,0.02,0.01,0.42,0.66,0.26,0.16,0.84,N/A,N/A,N/A,N/A,N/A,0.01,0.56,0.67,0.21,0.06,0.02,0.02,0,0.01,0.01
GA,HC.gov,G,All,"63,013",$565 ,$298 ,0.01,0.75,0,0,0,0,0,0.75,$357 ,$220 ,0.13,0.09,0.16,0.17,0.2,0.24,0,0.46,0.54,0.06,0,0.06,0,0.13,0.46,0.01,0.02,0.27,0,0.06,0,0.13,0.49,0.01,0.02,0.28,0.79,0.16,0.19,0.81,N/A,N/A,N/A,N/A,N/A,0.03,0.03,0.04,0.05,0.18,0.2,0.2,0.07,0.1,0.13
HI,HC.gov,B,All,"4,970",$492 ,$182 ,0.32,0.7,0.01,0,0,0,0.01,0.7,$441 ,$76 ,0.08,0.04,0.14,0.19,0.22,0.31,0.01,0.48,0.52,0.06,0.01,0.29,0.02,0.01,0.39,0.01,0.12,0.1,0.01,0.29,0.03,0.01,0.41,0.02,0.13,0.11,0.87,0.06,0.4,0.6,N/A,N/A,N/A,N/A,N/A,0.01,0.02,0.05,0.11,0.15,0.14,0.23,0.09,0.11,0.12
HI,HC.gov,S,All,"7,248",$699 ,$61 ,0.28,0.97,0.93,0.08,0.3,0.55,0,0.97,$659 ,$41 ,0.02,0.07,0.14,0.21,0.23,0.3,0.03,0.42,0.58,0.05,0,0.34,0.04,0,0.23,0.16,0.09,0.09,0,0.34,0.04,0,0.24,0.17,0.1,0.1,0.87,0.08,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.28,0.13,0.29,0.3,0.08,0.02,0.02,0,0,0
HI,HC.gov,G,All,"7,058",$673 ,$199 ,0.15,0.84,0,0,0,0,0,0.84,$567 ,$133 ,0.07,0.05,0.12,0.18,0.22,0.34,0.02,0.46,0.54,0.06,0,0.31,0.02,0.01,0.37,0.01,0.13,0.09,0,0.32,0.02,0.01,0.38,0.02,0.14,0.1,0.87,0.07,0.36,0.64,N/A,N/A,N/A,N/A,N/A,0.01,0.02,0.05,0.18,0.24,0.16,0.17,0.07,0.06,0.06
IA,HC.gov,B,All,"28,905",$557 ,$141 ,0.38,0.84,0,0,0,0,0,0.84,$492 ,$79 ,0.08,0.07,0.15,0.15,0.17,0.38,0,0.49,0.51,0.02,0,0.03,0,0.01,0.67,0,0.01,0.26,0,0.03,0,0.01,0.68,0.01,0.01,0.27,0.81,0.17,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0,0.01,0.03,0.1,0.15,0.16,0.28,0.09,0.1,0.08
IA,HC.gov,S,All,"18,901",$752 ,$69 ,0.43,0.98,0.94,0.11,0.46,0.37,0,0.98,$695 ,$58 ,0.03,0.08,0.17,0.18,0.17,0.35,0.02,0.45,0.55,0.04,0,0.04,0,0.02,0.59,0,0.01,0.3,0,0.04,0,0.02,0.61,0.01,0.01,0.31,0.75,0.21,0.53,0.47,N/A,N/A,N/A,N/A,N/A,0.02,0.07,0.36,0.46,0.11,0.02,0.02,0,0,0
IA,HC.gov,G,All,"24,132",$736 ,$179 ,0.24,0.89,0,0,0,0,0,0.89,$625 ,$131 ,0.07,0.07,0.14,0.14,0.16,0.41,0,0.47,0.53,0.03,0,0.02,0,0.01,0.68,0,0.01,0.26,0,0.02,0,0.01,0.69,0.01,0.01,0.27,0.81,0.16,0.59,0.41,N/A,N/A,N/A,N/A,N/A,0,0.01,0.03,0.11,0.23,0.18,0.25,0.07,0.07,0.06
ID,SBM,B,All,"44,771",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.09,0.12,0.15,0.15,0.27,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.01,0.09,0.2,0.17,0.2,0.12,0.04,0.17
ID,SBM,S,All,"22,023",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.12,0.12,0.16,0.15,0.14,0.28,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.02,0.13,0.37,0.22,0.06,0.04,0.06,0.01,0.05
ID,SBM,G,All,"6,127",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.21,0.09,0.15,0.17,0.15,0.22,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.02,0.06,0.21,0.18,0.16,0.14,0.03,0.19
IL,HC.gov,B,All,"130,729",$596 ,$203 ,0.19,0.82,0,0,0,0,0,0.82,$483 ,$141 ,0.08,0.07,0.15,0.14,0.18,0.37,0.01,0.48,0.52,0.07,0,0.09,0,0.05,0.55,0.01,0.01,0.21,0,0.09,0,0.05,0.58,0.02,0.02,0.24,0.78,0.15,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.01,0.02,0.06,0.12,0.16,0.16,0.24,0.08,0.09,0.08
IL,HC.gov,S,All,"162,084",$654 ,$164 ,0.11,0.95,0.82,0.14,0.33,0.36,0,0.94,$520 ,$140 ,0.05,0.08,0.18,0.17,0.2,0.3,0.02,0.47,0.53,0.1,0,0.12,0,0.04,0.49,0.01,0.01,0.23,0,0.12,0,0.04,0.52,0.02,0.01,0.27,0.74,0.17,0.11,0.89,N/A,N/A,N/A,N/A,N/A,0.03,0.1,0.33,0.33,0.14,0.05,0.06,0.02,0.02,0.02
IL,HC.gov,G,All,"29,602",$807 ,$423 ,0.02,0.73,0,0,0,0,0,0.73,$529 ,$325 ,0.11,0.07,0.18,0.18,0.18,0.28,0,0.47,0.53,0.07,0,0.06,0,0.03,0.65,0.01,0.02,0.17,0,0.06,0,0.04,0.68,0.02,0.02,0.18,0.82,0.11,0.21,0.79,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.07,0.17,0.17,0.24,0.09,0.11,0.13
IN,HC.gov,B,All,"61,806",$497 ,$214 ,0.16,0.72,0,0,0,0,0,0.72,$391 ,$122 ,0.13,0.07,0.13,0.14,0.17,0.35,0,0.48,0.52,0.03,0,0.04,0,0.04,0.62,0,0.01,0.26,0,0.04,0,0.04,0.63,0.01,0.01,0.27,0.8,0.17,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0,0.01,0.04,0.07,0.12,0.18,0.22,0.09,0.11,0.15
IN,HC.gov,S,All,"90,297",$603 ,$159 ,0.12,0.89,0.68,0.16,0.3,0.22,0,0.89,$499 ,$111 ,0.08,0.08,0.14,0.16,0.19,0.35,0.01,0.45,0.55,0.04,0,0.07,0,0.04,0.56,0,0.01,0.28,0,0.07,0,0.04,0.57,0.01,0.01,0.3,0.78,0.17,0.25,0.75,N/A,N/A,N/A,N/A,N/A,0.01,0.05,0.22,0.3,0.16,0.1,0.09,0.03,0.03,0.06
IN,HC.gov,G,All,"4,823",$715 ,$561 ,0,0.48,0,0,0,0,0,0.48,$323 ,$423 ,0.15,0.07,0.17,0.19,0.18,0.23,0,0.49,0.51,0.04,0,0.03,0,0.05,0.67,0.01,0.02,0.18,0,0.03,0,0.05,0.68,0.01,0.02,0.2,0.85,0.11,0.24,0.76,N/A,N/A,N/A,N/A,N/A,0,0,0.01,0.03,0.08,0.15,0.18,0.08,0.14,0.32
KS,HC.gov,B,All,"38,456",$561 ,$155 ,0.28,0.86,0.03,0,0,0,0.03,0.85,$475 ,$94 ,0.11,0.08,0.15,0.16,0.17,0.32,0.01,0.47,0.53,0.06,0.01,0.04,0,0.03,0.57,0,0.03,0.26,0.02,0.04,0,0.03,0.59,0.01,0.03,0.28,0.75,0.19,0.33,0.67,N/A,N/A,N/A,N/A,N/A,0.02,0.11,0.14,0.12,0.18,0.16,0.19,0.06,0.06,0.06
KS,HC.gov,S,All,"52,783",$651 ,$93 ,0.18,0.97,0.92,0.09,0.27,0.56,0,0.97,$578 ,$74 ,0.06,0.11,0.18,0.19,0.18,0.28,0.01,0.44,0.56,0.08,0,0.06,0,0.04,0.5,0.01,0.02,0.3,0,0.06,0,0.04,0.53,0.02,0.02,0.33,0.71,0.2,0.38,0.62,N/A,N/A,N/A,N/A,N/A,0.02,0.45,0.56,0.27,0.09,0.02,0.02,0,0,0.01
KS,HC.gov,G,All,"16,191",$716 ,$312 ,0.02,0.84,0,0,0,0,0,0.84,$483 ,$246 ,0.16,0.07,0.14,0.15,0.15,0.32,0,0.47,0.53,0.06,0,0.03,0,0.02,0.7,0,0.02,0.17,0,0.03,0,0.02,0.73,0.01,0.02,0.19,0.82,0.12,0.5,0.5,N/A,N/A,N/A,N/A,N/A,0.02,0.04,0.05,0.07,0.24,0.21,0.21,0.07,0.06,0.08
KY,SBM,B,All,"35,480",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.13,0.07,0.13,0.15,0.18,0.33,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.03,0.11,0.18,0.17,0.2,0.09,0,0.22
KY,SBM,S,All,"32,503",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.07,0.14,0.15,0.19,0.37,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.03,0.16,0.35,0.21,0.08,0.07,0.02,0.01,0.09
KY,SBM,G,All,"5,476",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.14,0.07,0.16,0.18,0.19,0.26,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0.01,0.04,0.16,0.15,0.15,0.05,0.03,0.41
LA,HC.gov,B,All,"33,902",$642 ,$144 ,0.27,0.89,0.01,0,0,0,0.01,0.89,$560 ,$96 ,0.11,0.06,0.14,0.16,0.19,0.33,0.01,0.47,0.53,0.03,0,0.05,0,0.12,0.52,0,0.02,0.25,0.01,0.05,0,0.12,0.54,0.01,0.02,0.25,0.78,0.19,0.16,0.84,N/A,N/A,N/A,N/A,N/A,0,0.01,0.06,0.11,0.15,0.21,0.25,0.08,0.08,0.05
LA,HC.gov,S,All,"55,733",$824 ,$129 ,0.32,0.96,0.82,0.15,0.35,0.33,0,0.96,$723 ,$101 ,0.05,0.07,0.15,0.17,0.2,0.34,0.01,0.43,0.57,0.04,0,0.09,0,0.11,0.41,0.01,0.01,0.33,0,0.09,0,0.11,0.43,0.01,0.01,0.34,0.71,0.26,0.2,0.8,N/A,N/A,N/A,N/A,N/A,0.01,0.07,0.33,0.35,0.15,0.07,0.06,0.01,0.01,0.02
LA,HC.gov,G,All,"9,991",$848 ,$354 ,0,0.88,0,0,0,0,0,0.88,$562 ,$298 ,0.16,0.07,0.16,0.18,0.18,0.25,0,0.46,0.54,0.04,0,0.03,0,0.08,0.56,0.01,0.02,0.27,0,0.03,0,0.08,0.58,0.01,0.02,0.28,0.75,0.21,0.22,0.78,N/A,N/A,N/A,N/A,N/A,0,0,0.02,0.05,0.18,0.26,0.26,0.09,0.08,0.06
